Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0103	Apopa	CCB6465-6	Fl Ni	{-2}	(731+2)	[5268]	B	-	-	204	7	Im	M0 V
0106	Denizli	C9A4116-5	Fl Lo	{-2}	(901-1)	[1132]	B	-	-	804	8	Im	K0 V
0109	Kisohinoki	D200252-A	Va Lo	{-1}	(A11+2)	[114C]	B	-	-	104	7	Im	M0 V
0115	Frensdorf	A2009CE-D	Va Hi Na In	{+4}	(88C-1)	[8D9F]	fEB	N	A	312	9	Im	M0 V M5 V
0117	Pemba	C200355-A	Va Lo	{+0}	(D21+5)	[3365]	B	S	-	817	12	Im	M5 V M5 V
0118	Catanauan	C4A0569-9	He Ni	{-1}	(045+2)	[5418]	B	-	-	406	11	Im	M5 V M5 V
0119	Hampton	E6A7222-5	Fl Lo	{-3}	(611+0)	[2171]	B	-	-	212	8	Im	G5 V
0120	Dedeyn	B0007B8-B	As Va Na Pi	{+2}	(C67+0)	[697D]	DB	N	-	915	6	Im	w D
0121	Coroico	B200663-8	Va Ni Na	{-1}	(055+4)	[4578]	B	-	-	508	11	Im	K5 V M5 V
0124	Amdel	E200000-0	Va Ba	{-3}	(900-1)	[0000]	B	-	-	004	7	Im	M0 V
0125	Hiromi	BCB56A9-9	Fl Ni Px	{+1}	(F57-1)	[A748]	B	NS	-	904	7	Im	K5 V
0128	Cave	BAB48CE-7	Fl Ph	{+0}	(879-2)	[788A]	eB	-	A	604	8	Im	K0 V
0133	Fribourg	E200204-5	Va Lo	{-3}	(511+4)	[7165]	B	-	-	305	7	Im	M5 V
0135	Blair	C200320-9	Va Lo	{-1}	(721-2)	[1248]	B	S	-	405	9	Im	M0 V M5 V
0202	Stromgrenia	C664754-8	Ag Ri	{+1}	(A68-1)	[785D]	CB	S	-	214	8	Im	K0 V
0206	Cheltenham	B200676-B	Va Ni Na	{+1}	(E54+0)	[679D]	B	-	-	305	8	Im	M0 V
0209	Luanshya	D200230-6	Va Lo	{-3}	(911-2)	[6161]	B	S	-	807	7	Im	w D
0210	La Victoria	B6A3753-A	Fl	{+2}	(D6D+4)	[991E]	B	S	-	113	9	Im	F5 V
0218	Laterza	D200320-5	Va Lo	{-3}	(821-4)	[4125]	B	S	-	604	7	Im	M5 V
0227	Minarol	B8A47AB-C	Fl	{+2}	(D6A+0)	[896E]	B	-	-	513	14	Im	F5 V F5 V
0229	Marburg	A200978-D	Va Hi Na In	{+4}	(987+0)	[8D5G]	fEB	N	-	906	10	Im	M0 V M5 V
0230	Rivolta d Adda	C785124-8	Ga Lo	{-2}	(601+1)	[2156]	B	S	-	822	8	Im	G5 V
0234	Vestavia Hills	D200322-9	Va Lo	{-2}	(F21-2)	[81A9]	B	S	-	705	7	Im	K5 V
0236	Waterlooville	C8B2332-7	Fl He Lo	{-2}	(621+2)	[3137]	B	-	-	504	8	Im	K5 V
0239	Miyazaki	E100200-B	Va Lo	{-1}	(C11+3)	[111B]	B	-	-	806	6	Im	M5 V
0240	Diplodocus	B7669C9-7	Ga Hi Pr	{+1}	(68A+0)	[6A85]	EcB	N	-	514	9	Im	F0 V
0308	Oistrach	C200314-A	Va Lo	{+0}	(C21+3)	[136F]	B	S	-	705	8	Im	M0 V
0312	Grudziadz	E200000-0	Va Ba	{-3}	(500-2)	[0000]	B	-	-	004	7	Im	M0 V
0314	Namayingo	C8A1121-8	Fl He Lo	{-2}	(F01+1)	[2146]	B	S	-	414	8	Im	K0 V
0315	Kissimmee	C200200-C	Va Lo	{+0}	(D11+5)	[124E]	B	S	-	708	8	Im	w D
0320	Tokunoshima	A966858-A	Ph Pa Ri	{+3}	(77B+3)	[7B48]	eCcB	S	-	702	8	Im	G5 V
0321	Minamiozuma	C200110-9	Va Lo	{-1}	(F01-3)	[2188]	B	S	-	607	7	Im	w D
