Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0102	Nanbaishezhen	C9A148B-8	Fl He Ni	{-2}	(732+0)	[322A]	B	S	-	303	9	Im	F5 V
0107	Thelonious	C200443-6	Va Ni	{-2}	(B33-2)	[6268]	B	-	-	804	6	Im	M5 V
0108	Guarenas	C200443-6	Va Ni	{-2}	(634-1)	[7284]	B	-	-	904	12	Im	F5 V K5 V
0110	Szczecin	B5868AB-8	Ph Pa Ri	{+1}	(B78+0)	[7969]	eCcB	-	-	705	11	Im	M0 V M5 V
0114	Migdal Ha Emeq	B200720-B	Va Na Pi	{+2}	(B6B+1)	[B97B]	DB	S	-	406	8	Im	K5 V
0116	Hopewell	X764479-2	Ni Pa	{-3}	(433-2)	[6133]	cB	-	R	203	8	Im	G5 V
0119	Monument	B7B1766-9	Fl He	{+1}	(E6A-2)	[886A]	B	-	-	104	8	Im	K5 V
0125	San Ildefonso	C664567-7	Ni Ag Pr	{-1}	(741+0)	[5428]	CcB	S	-	703	11	Im	K0 V K5 V
0126	Fricke	EBB4344-8	Fl Lo	{-3}	(C21+0)	[1197]	B	-	-	802	8	Im	G0 V
0127	Ezanville	D799334-7	Lo	{-3}	(821+2)	[2144]	B	S	-	916	11	Im	K5 V M5 V
0130	Katanning	C200101-9	Va Lo	{-1}	(B01-1)	[315B]	B	-	-	204	6	Im	M5 V
0131	Bharatpur	C200111-8	Va Lo	{-2}	(C01-1)	[119A]	B	-	-	914	8	Im	G5 V
0136	Margret	B300645-9	Va Ni Na	{+0}	(A56+2)	[2617]	B	-	-	205	8	Im	w D
0201	Olivette	A200878-F	Va Ph Na Pi	{+2}	(D79-3)	[7A7F]	eDB	N	-	104	8	Im	M0 V
0208	Shenghua	ECB4213-5	Fl Lo	{-3}	(811+0)	[4163]	B	-	-	702	10	Im	A0 V
0215	Doutor Severiano	A867799-C	Ga Ag Ri	{+4}	(B68+2)	[3B3C]	fCB	N	-	314	8	Im	K5 V
0218	Zero Branco	DBB8578-8	Fl Ni	{-3}	(D43+1)	[9259]	B	-	-	205	7	Im	M0 V
0219	Guines	C9A8577-A	Fl Ni	{+0}	(D45+0)	[3547]	B	-	-	804	7	Im	M0 V
0224	Srinivasan	C300667-A	Va Ni Na	{+0}	(A55-3)	[666A]	B	-	-	404	8	Im	M0 V
0231	Pickeringia	BBB67AC-9	Fl	{+1}	(B68-4)	[887B]	B	N	-	803	7	Im	K5 V
0232	Formigueiro	C7A4420-9	Fl Ni	{-1}	(931+4)	[1378]	B	-	-	913	8	Im	K0 V
0233	Bogatic	C6A2447-5	Fl He Ni Px	{-2}	(734-4)	[6266]	B	S	-	613	9	Im	F0 V
0234	Geographos	BCB6976-9	Fl Hi In	{+3}	(A89+2)	[AC2A]	EB	-	-	104	7	Im	M0 V
0302	Xiangjiaba	B200799-9	Va Na Pi	{+1}	(B6B-1)	[8819]	DB	N	-	604	7	Im	M0 V
0303	Kirov	C200413-6	Va Ni	{-2}	(634+1)	[42A9]	B	S	-	405	6	Im	M5 V
0311	Eldoret	C200754-A	Va Na Pi	{+1}	(966+1)	[6835]	DB	-	-	406	7	Im	w D
0312	Balikesir	C100205-B	Va Lo	{+0}	(F11+4)	[128C]	B	-	-	304	7	Im	w D
0313	Quchan	C6A0376-8	He Lo	{-2}	(B21-2)	[1158]	B	-	-	703	8	Im	G5 V
0314	Sidi Bel Abbes	A510624-D	Ni Na	{+1}	(855-2)	[176F]	B	N	-	403	7	Im	M0 V
0316	Gutbezahl	CAB056A-8	He Ni	{-2}	(B41-5)	[834A]	B	-	-	903	8	Im	G5 V
0317	Stainz	C200244-A	Va Lo	{+0}	(E11+3)	[529E]	B	-	-	404	7	Im	M5 V
0322	Monitoma	B8A6856-9	Fl Ph	{+1}	(C78-3)	[8919]	eB	N	-	504	8	Im	G0 V
0327	Lake Fenton	C983430-5	Ni	{-2}	(431-3)	[22A2]	B	S	-	503	8	Im	G5 V
0328	Lochgelly	A200ABB-F	Va Hi Na In	{+4}	(B9D+2)	[AE5F]	fEB	N	-	515	7	Im	M0 V
0335	Lake City	C200474-6	Va Ni	{-2}	(A34-2)	[8276]	B	-	-	605	7	Im	M5 V
0337	Holasovice	A100665-F	Va Ni Na	{+1}	(F52+2)	[671D]	B	-	-	705	6	Im	M5 V
0401	Lokeren	C7A0300-9	He Lo	{-1}	(621+2)	[3267]	B	S	-	402	8	Im	F5 V
0403	Manticao	B2007AD-9	Va Na Pi	{+1}	(C67+1)	[686C]	DB	-	-	901	1	Im	M5 V w D
0406	Cuffey	C7A3667-8	Fl Ni Px	{-2}	(C52-2)	[9426]	B	S	-	112	8	Im	G0 V
0413	Hassi Berkane	C000355-B	As Va Lo	{+0}	(821+2)	[3347]	B	-	-	531	9	Im	A5 V
0415	Takeyama	C200466-9	Va Ni	{-1}	(B30+4)	[736A]	B	-	-	217	10	Im	M0 V M5 V
0422	Derby	C6A9514-8	Fl Ni	{-2}	(940-1)	[1377]	B	S	-	215	8	Im	M0 V
0424	Hujiachi	B200744-A	Va Na Pi	{+2}	(F68-4)	[3918]	DB	S	-	208	12	Im	w D w D
0429	Summerfield	C200576-A	Va Ni	{+0}	(C41-4)	[253B]	B	-	-	313	8	Im	M0 V
0433	Guaratingueta	A300611-A	Va Ni Na	{+1}	(D56+1)	[5748]	B	-	-	605	8	Im	G5 V
0437	Nayana	B20089C-8	Va Ph Na Pi	{+0}	(C78-3)	[7839]	eDB	-	-	604	6	Im	M5 V
0438	Hongwansi	C200000-0	Va Ba	{-2}	(900+0)	[0000]	B	-	-	006	7	Im	M0 V
0511	Hasselt	A6A5646-E	Fl Ni Px	{+1}	(D56-1)	[B75C]	B	N	-	904	7	Im	K5 V
0514	Altstatten	B7A288B-B	Fl He Ph	{+2}	(C77-3)	[9A8A]	eB	-	-	803	9	Im	F0 V
0515	Savonlinna	C200546-7	Va Ni	{-2}	(B40-1)	[2346]	B	S	-	407	7	Im	w D
0521	Bagua Grande	C3006AC-6	Va Ni Na	{-2}	(651+3)	[9435]	B	-	-	916	8	Im	K5 V
0525	Hicklen	BAB17BA-8	Fl He	{+0}	(867-4)	[773B]	B	S	-	521	9	Im	F0 V
0526	Campolongo Maggior	C6AA578-C	Fl Ni	{+0}	(F44+5)	[554D]	B	S	-	106	7	Im	M5 V
0535	Morrilton	C000578-9	As Va Ni	{-1}	(F41+0)	[6456]	B	-	-	815	8	Im	K0 V
0536	Lemus	C6A6000-0	Fl Ba	{-2}	(B00-2)	[0000]	B	-	-	013	9	Im	F0 V
0537	Naguilian	C300321-9	Va Lo	{-1}	(B21+2)	[4259]	B	S	-	304	7	Im	M0 V
0538	Leontovich	D771246-3	He Lo	{-3}	(811+1)	[1132]	B	S	-	702	8	Im	G5 V
0540	Pordic	D200445-5	Va Ni	{-3}	(630+3)	[8115]	B	-	-	704	7	Im	M0 V
0605	Divnoye	C000555-C	As Va Ni	{+0}	(E45+0)	[853B]	B	S	-	813	8	Im	K0 V
0606	Varkaus	E200222-6	Va Lo	{-3}	(911+0)	[5135]	B	-	-	704	7	Im	M0 V
0609	Castel di Sangro	B759654-8	Ni	{-1}	(855-5)	[551A]	B	-	-	603	8	Im	K0 V
0613	Beccles	C887498-7	Ga Ni Pa	{-2}	(830+0)	[4249]	cB	-	-	312	8	Im	G0 V
0620	Lenzing	C200440-B	Va Ni	{+0}	(E33-1)	[348D]	B	S	-	407	8	Im	M0 V
0622	Pedara	C7A4558-B	Fl Ni Px	{+0}	(945+1)	[355B]	B	-	-	702	8	Im	K0 V
0628	Lunaria	A200640-B	Va Ni Na	{+1}	(E52-2)	[6739]	B	-	-	707	8	Im	w D
0634	Laurel	E200386-4	Va Lo	{-3}	(721-3)	[1167]	B	-	-	905	6	Im	M5 V
0635	Tripoli	E664322-2	Lo	{-3}	(621-2)	[2192]	B	-	-	304	7	Im	M5 V
0637	Idrija	E100256-8	Va Lo	{-3}	(B11-4)	[5164]	B	-	-	104	6	Im	M5 V
0702	Foz do Iguacu	C896532-6	Ni Ag	{-1}	(B44-1)	[5472]	CB	-	-	604	8	Im	G5 V
0703	Khorugh	A2007AC-F	Va Na Pi	{+2}	(D69-3)	[894F]	DB	N	-	104	6	Im	M5 V
0704	Chunian	E200344-6	Va Lo	{-3}	(621+0)	[1187]	B	-	-	614	6	Im	M5 V
0709	Mourenx	C200310-6	Va Lo	{-2}	(921-1)	[4134]	B	-	-	205	7	Im	M5 V
0715	Palitzsch	B651995-9	Hi Po	{+2}	(A8B-1)	[7B4A]	EB	-	-	114	9	Im	F0 V
0716	Presevo	A200764-E	Va Na Pi	{+2}	(B67+1)	[692C]	DB	S	-	702	6	Im	M5 V
0725	Natanz	B2006BA-9	Va Ni Na	{+0}	(F53+2)	[166B]	B	-	-	408	8	Im	w D
0727	Palapye	A200788-B	Va Na Pi	{+2}	(B69+0)	[8969]	DB	-	-	114	7	Im	M0 V
0728	Time	C643665-8	Ni Po	{-2}	(650+2)	[847C]	B	-	-	802	9	Im	F0 V
0729	Broughton	C798223-4	Lo	{-2}	(811-4)	[5164]	B	-	-	804	8	Im	G5 V
0730	Ludwig	C6B3585-A	Fl Ni	{+0}	(844-2)	[653A]	B	-	-	803	8	Im	K0 V
0736	Nazarje	B8C4656-B	Fl Ni	{+1}	(B57-3)	[578C]	B	-	-	902	9	Im	F0 V
0738	Annasante	C89858C-9	Ni Ag	{+0}	(743+1)	[5548]	CB	-	-	802	8	Im	G5 V
0739	Aiweiwei	E9B0403-9	He Ni	{-2}	(B30-1)	[4248]	B	-	-	602	9	Im	F0 V
0740	Traversa	E200102-5	Va Lo	{-3}	(501+0)	[1127]	B	-	-	508	8	Im	w D
0801	Wernberg	B8A0746-7	He	{+1}	(66A-2)	[5874]	B	NS	-	702	9	Im	F0 V
0803	Yicheng	C200788-7	Va Na Pi	{-1}	(263-2)	[7667]	DB	-	-	307	7	Im	w D
0809	Serganov	C200446-B	Va Ni	{+0}	(B35+4)	[647A]	B	-	-	316	10	Im	M0 V M5 V
0810	Whitney	A200799-F	Va Na Pi	{+2}	(A69+1)	[996F]	DB	N	-	604	7	Im	M0 V
0811	Souk el Had-des Be	C300551-B	Va Ni	{+0}	(B42+0)	[455A]	B	-	-	905	8	Im	M0 V
0812	Kaoru	CCB06BB-5	He Ni	{-2}	(550-1)	[8466]	B	S	-	614	8	Im	K5 V
0820	Tregueux	C200467-8	Va Ni	{-2}	(C30-3)	[4297]	B	-	-	904	8	Im	G5 V
0821	Cachoeira dos Indi	C7A6366-6	Fl Lo	{-2}	(721+3)	[1158]	B	-	-	704	8	Im	M0 V
0823	Balti	C5A4000-0	Fl Ba	{-2}	(800+2)	[0000]	B	-	-	013	6	Im	M5 V
0824	Buncher	C200223-B	Va Lo	{+0}	(D11+4)	[128A]	B	S	-	705	7	Im	M0 V
0828	Breckerfeld	E200200-5	Va Lo	{-3}	(511-3)	[5134]	B	-	-	303	7	Im	M0 V
0830	Saint-Flour	A6A2734-B	Fl He	{+2}	(F6C+0)	[598D]	B	N	-	104	8	Im	K0 V
0833	Bechmann	C2008C9-A	Va Ph Na Pi	{+1}	(D7A-2)	[5966]	eDB	-	-	518	11	Im	M5 V M5 V
0836	Odenton	D000543-9	As Va Ni	{-2}	(A42+0)	[736B]	B	S	-	713	8	Im	G5 V
0839	Zangang	D000474-6	As Va Ni	{-3}	(C30-2)	[4144]	B	S	-	913	6	Im	M5 V
0903	Busselton	A6A0767-E	He	{+2}	(96D+2)	[492F]	B	-	-	404	8	Im	M0 V
0907	Nagato	C200543-7	Va Ni	{-2}	(B44+2)	[4386]	B	S	-	104	8	Im	M0 V M5 V
0913	Sayo	E645200-7	Lo	{-3}	(311+0)	[2136]	B	-	-	103	8	Im	G5 V
0914	Brena Alta	B200667-C	Va Ni Na	{+1}	(F53+0)	[374D]	B	-	-	306	12	Im	K0 V K5 V
0917	Chtiba	D200322-7	Va Lo	{-3}	(321+1)	[2154]	B	-	-	504	7	Im	M5 V
0918	Shaowu	E000120-6	As Va Lo	{-3}	(501+3)	[1146]	B	-	-	914	6	Im	M5 V
0921	Houlton	C200552-B	Va Ni	{+0}	(B42-1)	[152B]	B	S	-	914	9	Im	K5 V M5 V
0931	Diu	C4B0520-7	He Ni	{-2}	(440-1)	[3354]	B	S	-	506	7	Im	w D
0932	Kuiyibagecun	A8A88CC-9	Fl Ph	{+1}	(D77-1)	[7919]	eB	N	-	315	8	Im	K0 V
0934	Kiev	C000536-9	As Va Ni	{-1}	(F43-3)	[2456]	B	-	-	1111	12	Im	w D w D
0938	Shuibian	C200558-8	Va Ni	{-2}	(B40-5)	[A37B]	B	-	-	206	8	Im	M0 V
0939	Flieden	CAB2565-7	Fl He Ni	{-2}	(941+0)	[1348]	B	-	-	704	7	Im	M0 V
1003	Mathilde	A97A768-A	Wa Pi	{+2}	(A6D+0)	[7979]	DB	N	-	115	8	Im	K0 V
1006	Gavrilov-Yam	C987476-8	Ni Pa	{-2}	(732+0)	[7268]	cB	-	-	704	8	Im	G5 V
1007	Gulf Hills	C000511-C	As Va Ni	{+0}	(E45+3)	[651A]	B	-	-	513	9	Im	G0 V
1008	Dostoevsky	C5B0432-9	He Ni	{-1}	(F34+0)	[4337]	B	-	-	316	8	Im	M0 V
1010	Haydock	E200133-9	Va Lo	{-2}	(801-2)	[3118]	B	-	-	314	7	Im	M0 V
1011	Supoka	C6B6203-B	Fl Lo	{+0}	(811-1)	[2268]	B	S	-	502	12	Im	G0 V G5 V
1014	Dengzhou	C200244-9	Va Lo	{-1}	(D11+2)	[312A]	B	-	-	306	10	Im	M5 V M5 V
1019	Sete Lagoas	A000666-D	As Va Ni Na	{+1}	(E56-3)	[276B]	B	-	-	814	8	Im	G5 V
1024	Blida	C7B2579-5	Fl He Ni Px	{-2}	(840+3)	[3342]	B	-	-	105	9	Im	M5 V M5 V
