Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0107	Wunstorf	A300656-D	Va Ni Na	{+1}	(556-2)	[876F]	B	N	-	403	8	Im	M0 V
0115	Carlstadt	C300574-9	Va Ni	{-1}	(A44+1)	[743B]	B	-	-	424	8	Im	K0 V
0116	Shelton	B4109AC-D	Hi Na In	{+4}	(B89+1)	[9D4D]	fEB	-	-	104	6	Im	M5 V
0119	Sigmos	A568774-C	Ag Ri	{+5}	(D6E-4)	[7C7B]	fCB	NS	-	804	8	Im	M0 V
0120	Hamah	AAB58CE-E	Fl Ph	{+2}	(E77+2)	[AA20]	eB	N	A	232	9	Im	F0 V
0125	Pozorrubio	C200434-6	Va Ni	{-2}	(534+2)	[4269]	B	S	-	207	7	Im	w D
0128	Crawfordville	C200869-8	Va Ph Na Pi	{-1}	(D77-1)	[9789]	eDB	-	-	503	8	Im	G5 V
0204	Manresa	D7B7201-9	Fl Lo	{-2}	(B11-1)	[1164]	B	S	-	606	11	Im	M5 V M5 V
0211	Fossalta di Portog	C610346-8	Lo	{-2}	(821+1)	[1128]	B	-	-	615	10	Im	M0 V M5 V
0226	Corridan	C200568-A	Va Ni	{+0}	(841-4)	[3578]	B	S	-	204	6	Im	M5 V
0227	Duartina	A9D5862-B	Ph	{+2}	(979-5)	[9A66]	eB	-	-	904	8	Im	K5 V
0228	Auburn	B000778-9	As Va Na Pi	{+1}	(064+2)	[9849]	DB	N	-	114	9	Im	F5 V
0312	Dzierzoniow	C200359-7	Va Lo	{-2}	(721+2)	[6145]	B	-	-	205	7	Im	M5 V
0330	Dianecaplain	E000000-0	As Va Ba	{-3}	(200-1)	[0000]	B	-	-	012	9	Im	F0 V
0402	Voorhees	C200511-8	Va Ni	{-2}	(C44-2)	[338D]	B	S	-	204	7	Im	M0 V
0403	Bogo	A200853-D	Va Ph Na Pi	{+2}	(B79-3)	[9A3A]	eDB	-	-	615	10	Im	M0 V M5 V
0426	Naotosato	C5A359A-8	Fl Ni	{-2}	(F43+4)	[638A]	B	-	-	106	8	Im	w D
0431	Covina	C9A0889-8	He Ph	{-1}	(B77+2)	[57AB]	eB	-	-	203	8	Im	G0 V
0435	Wright	A20079D-D	Va Na Pi	{+2}	(F69-2)	[A94D]	DB	-	-	705	7	Im	M5 V
0509	Nocturna	C873520-8	Ni	{-2}	(F40+4)	[4328]	B	-	-	415	12	Im	K0 V K5 V
0511	Magnitka	C879500-6	Ni	{-2}	(B41-2)	[A319]	B	-	-	803	8	Im	K0 V
0513	Monte Azul Paulist	A665842-C	Ga Ph Pa Ri	{+3}	(F7A-2)	[AB50]	eCcB	-	-	814	8	Im	G5 V
